corruption,language,items_token,items_asr,token_mean_ued,token_mean_nued,asr_mean_wer,asr_mean_cer
aac_32k,fr,100,100,0.2529815650385865,0.019460120387583577,0.12173744998040734,0.048789615550711686
aac_32k,zh,100,100,0.13713327977691392,0.010548713828993382,0.93,0.3807392357175916
babble_4spk_10db,fr,100,100,0.6070818830544167,0.04669860638880127,0.28848582316728894,0.1539956500237848
babble_4spk_10db,zh,100,100,0.417035457411491,0.03207965057011469,0.97,0.5058919325426618
competing_speech_16db,fr,100,100,0.4817445075880146,0.03705726981446266,0.14093668992654387,0.06355969921735033
competing_speech_16db,zh,100,100,0.2750473946550911,0.021157491896545467,0.96,0.3872931775554175
gaussian_25db,fr,100,100,0.2634576420912609,0.02026597246855853,0.1636813952956398,0.06920608543325471
gaussian_25db,zh,100,100,0.13083146932148085,0.01006395917857545,0.9,0.33117312153983647
reverb_small_room,fr,100,100,0.3660655766307539,0.02815889051005799,0.14278006291234824,0.06360258882364153
reverb_small_room,zh,100,100,0.23991753015014086,0.01845519462693391,0.91,0.36261527264765037
telephone_bandpass,fr,100,100,0.25384634584323534,0.019526641987941185,0.11624003198959026,0.047994271763076704
telephone_bandpass,zh,100,100,0.1417999276050158,0.010907686738847368,0.91,0.38799639066166536
