corruption,items,language,mean_cer,mean_wer
aac_32k,100,fr,0.048789615550711686,0.12173744998040734
aac_32k,100,zh,0.3807392357175916,0.93
babble_4spk_10db,100,fr,0.1539956500237848,0.28848582316728894
babble_4spk_10db,100,zh,0.5058919325426618,0.97
clean,100,fr,0.04680900378276313,0.11649456186215085
clean,100,zh,0.375954525380176,0.91
competing_speech_16db,100,fr,0.06355969921735033,0.14093668992654387
competing_speech_16db,100,zh,0.3872931775554175,0.96
gaussian_25db,100,fr,0.06920608543325471,0.1636813952956398
gaussian_25db,100,zh,0.33117312153983647,0.9
reverb_small_room,100,fr,0.06360258882364153,0.14278006291234824
reverb_small_room,100,zh,0.36261527264765037,0.91
telephone_bandpass,100,fr,0.047994271763076704,0.11624003198959026
telephone_bandpass,100,zh,0.38799639066166536,0.91
