corruption,items,language,mean_cer,mean_wer
aac_32k,8,fr,0.04850389425830119,0.12712783416654042
aac_32k,8,zh,0.5039473684210527,0.875
babble_4spk_10db,8,fr,0.12169455445573192,0.2522021829885049
babble_4spk_10db,8,zh,0.437531328320802,0.875
clean,8,fr,0.056208596917302275,0.13308021511892137
clean,8,zh,0.4920426065162907,0.875
competing_speech_16db,8,fr,0.08256624434538645,0.16592366700545264
competing_speech_16db,8,zh,0.48675595238095243,0.75
gaussian_25db,8,fr,0.09035178466650709,0.171276647344767
gaussian_25db,8,zh,0.4220238095238095,0.75
reverb_small_room,8,fr,0.0833992923155498,0.18076496407571233
reverb_small_room,8,zh,0.38482142857142854,0.75
telephone_bandpass,8,fr,0.04062741335192899,0.10665681967378679
telephone_bandpass,8,zh,0.4793937969924812,0.875
