aggregation,audio_index,commit_latency_seconds,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
first,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
first,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
majority,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
majority,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
center,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
center,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
edge_weighted,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_weighted,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
voter_margin,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
voter_margin,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
entropy_weighted,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
entropy_weighted,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
edge_voter,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_voter,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
edge_entropy,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_entropy,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
edge_voter_entropy,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
edge_voter_entropy,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
hidden_mean,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_mean,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
hidden_edge,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_edge,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
hidden_edge_voter,0,1.0,0.6133333333333333,912,0.7947826086956522,stride_1s,nonoverlap_majority,1150,0.7930434782608695
hidden_edge_voter,0,1.0,0.6133333333333333,868,0.7556521739130435,stride_1s,high_overlap_stride_1s_edge_voter,1150,0.7547826086956522
first,0,3.0,0.64,912,0.7616666666666667,stride_1s,nonoverlap_majority,1200,0.76
first,0,3.0,0.64,906,0.7558333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.755
majority,0,3.0,0.64,899,0.7508333333333334,stride_1s,nonoverlap_majority,1200,0.7491666666666666
majority,0,3.0,0.64,872,0.7275,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7266666666666667
center,0,3.0,0.64,968,0.8091666666666667,stride_1s,nonoverlap_majority,1200,0.8066666666666666
center,0,3.0,0.64,871,0.7316666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7258333333333333
edge_weighted,0,3.0,0.64,968,0.8091666666666667,stride_1s,nonoverlap_majority,1200,0.8066666666666666
edge_weighted,0,3.0,0.64,871,0.7316666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7258333333333333
voter_margin,0,3.0,0.64,915,0.765,stride_1s,nonoverlap_majority,1200,0.7625
voter_margin,0,3.0,0.64,856,0.7133333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1200,0.7133333333333334
