audio_index,edge_distance_bin,edge_distance_midpoint_seconds,mismatch_rate,observations,policy,reference
0,0-0.5s,0.25,0.0,72,nonoverlap_30s,nonoverlap_majority
0,0.5-1s,0.75,0.0,78,nonoverlap_30s,nonoverlap_majority
0,1-2s,1.5,0.0,150,nonoverlap_30s,nonoverlap_majority
0,2-5s,3.5,0.0,450,nonoverlap_30s,nonoverlap_majority
0,5-10s,7.5,0.0,625,nonoverlap_30s,nonoverlap_majority
0,10-15s,12.5,0.0,500,nonoverlap_30s,nonoverlap_majority
0,0-0.5s,0.25,0.6527777777777778,72,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.6666666666666666,78,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.64,150,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.56,450,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.5632,625,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.494,500,nonoverlap_30s,high_overlap_stride_1s_edge_voter
0,0-0.5s,0.25,0.4791666666666667,96,stride_15s,nonoverlap_majority
0,0.5-1s,0.75,0.4423076923076923,104,stride_15s,nonoverlap_majority
0,1-2s,1.5,0.415,200,stride_15s,nonoverlap_majority
0,2-5s,3.5,0.3933333333333333,600,stride_15s,nonoverlap_majority
0,5-10s,7.5,0.381,1000,stride_15s,nonoverlap_majority
0,10-15s,12.5,0.374,1000,stride_15s,nonoverlap_majority
0,0-0.5s,0.25,0.625,96,stride_15s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.5480769230769231,104,stride_15s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.515,200,stride_15s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.47833333333333333,600,stride_15s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.542,1000,stride_15s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.446,1000,stride_15s,high_overlap_stride_1s_edge_voter
0,0-0.5s,0.25,0.65,240,stride_5s,nonoverlap_majority
0,0.5-1s,0.75,0.5653846153846154,260,stride_5s,nonoverlap_majority
0,1-2s,1.5,0.616,500,stride_5s,nonoverlap_majority
0,2-5s,3.5,0.632,1500,stride_5s,nonoverlap_majority
0,5-10s,7.5,0.594,2500,stride_5s,nonoverlap_majority
0,10-15s,12.5,0.5916,2500,stride_5s,nonoverlap_majority
0,0-0.5s,0.25,0.6791666666666667,240,stride_5s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.573076923076923,260,stride_5s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.578,500,stride_5s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.598,1500,stride_5s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.5552,2500,stride_5s,high_overlap_stride_1s_edge_voter
0,10-15s,12.5,0.5068,2500,stride_5s,high_overlap_stride_1s_edge_voter
0,0-0.5s,0.25,0.8043478260869565,1104,stride_1s,nonoverlap_majority
0,0.5-1s,0.75,0.6931438127090301,1196,stride_1s,nonoverlap_majority
0,1-2s,1.5,0.7056521739130435,2300,stride_1s,nonoverlap_majority
0,2-5s,3.5,0.7284057971014493,6900,stride_1s,nonoverlap_majority
0,5-10s,7.5,0.7,11500,stride_1s,nonoverlap_majority
0,10-15s,12.5,0.7054782608695652,11500,stride_1s,nonoverlap_majority
0,0-0.5s,0.25,0.7771739130434783,1104,stride_1s,high_overlap_stride_1s_edge_voter
0,0.5-1s,0.75,0.6304347826086957,1196,stride_1s,high_overlap_stride_1s_edge_voter
0,1-2s,1.5,0.6395652173913043,2300,stride_1s,high_overlap_stride_1s_edge_voter
0,2-5s,3.5,0.6398550724637682,6900,stride_1s,high_overlap_stride_1s_edge_voter
0,5-10s,7.5,0.5761739130434783,11500,stride_1s,high_overlap_stride_1s_edge_voter
