aggregation,audio_index,edit_distance,mismatch_rate,policy,region,tokens,ued
first,0,574,0.30666666666666664,stride_15s,overall,1875,0.3061333333333333
first,0,22,0.44,stride_15s,boundary_pm_0.5s,50,0.44
first,0,40,0.39215686274509803,stride_15s,boundary_pm_1s,102,0.39215686274509803
first,0,81,0.400990099009901,stride_15s,boundary_pm_2s,202,0.400990099009901
first,0,180,0.35856573705179284,stride_15s,boundary_pm_5s,502,0.35856573705179284
first,0,179,0.47733333333333333,stride_15s,start_0_5s,375,0.47733333333333333
first,0,395,0.3168,stride_15s,middle_5_25s,1250,0.316
first,0,0,0.0,stride_15s,end_25_30s,250,0.0
majority,0,574,0.30666666666666664,stride_15s,overall,1875,0.3061333333333333
majority,0,22,0.44,stride_15s,boundary_pm_0.5s,50,0.44
majority,0,40,0.39215686274509803,stride_15s,boundary_pm_1s,102,0.39215686274509803
majority,0,81,0.400990099009901,stride_15s,boundary_pm_2s,202,0.400990099009901
majority,0,180,0.35856573705179284,stride_15s,boundary_pm_5s,502,0.35856573705179284
majority,0,179,0.47733333333333333,stride_15s,start_0_5s,375,0.47733333333333333
majority,0,395,0.3168,stride_15s,middle_5_25s,1250,0.316
majority,0,0,0.0,stride_15s,end_25_30s,250,0.0
center,0,721,0.3856,stride_15s,overall,1875,0.38453333333333334
center,0,37,0.74,stride_15s,boundary_pm_0.5s,50,0.74
center,0,74,0.7254901960784313,stride_15s,boundary_pm_1s,102,0.7254901960784313
center,0,153,0.7574257425742574,stride_15s,boundary_pm_2s,202,0.7574257425742574
center,0,374,0.7470119521912351,stride_15s,boundary_pm_5s,502,0.7450199203187251
center,0,179,0.47733333333333333,stride_15s,start_0_5s,375,0.47733333333333333
center,0,348,0.2792,stride_15s,middle_5_25s,1250,0.2784
center,0,194,0.78,stride_15s,end_25_30s,250,0.776
first,0,838,0.44906666666666667,stride_5s,overall,1875,0.44693333333333335
first,0,24,0.48,stride_5s,boundary_pm_0.5s,50,0.48
first,0,48,0.47058823529411764,stride_5s,boundary_pm_1s,102,0.47058823529411764
first,0,88,0.44554455445544555,stride_5s,boundary_pm_2s,202,0.43564356435643564
first,0,210,0.42231075697211157,stride_5s,boundary_pm_5s,502,0.41832669322709165
first,0,208,0.56,stride_5s,start_0_5s,375,0.5546666666666666
first,0,630,0.5056,stride_5s,middle_5_25s,1250,0.504
first,0,0,0.0,stride_5s,end_25_30s,250,0.0
majority,0,915,0.4896,stride_5s,overall,1875,0.488
majority,0,34,0.68,stride_5s,boundary_pm_0.5s,50,0.68
majority,0,67,0.6568627450980392,stride_5s,boundary_pm_1s,102,0.6568627450980392
majority,0,120,0.6039603960396039,stride_5s,boundary_pm_2s,202,0.594059405940594
majority,0,288,0.5776892430278885,stride_5s,boundary_pm_5s,502,0.5737051792828686
majority,0,159,0.42933333333333334,stride_5s,start_0_5s,375,0.424
majority,0,629,0.504,stride_5s,middle_5_25s,1250,0.5032
majority,0,127,0.508,stride_5s,end_25_30s,250,0.508
center,0,972,0.5194666666666666,stride_5s,overall,1875,0.5184
center,0,37,0.74,stride_5s,boundary_pm_0.5s,50,0.74
center,0,74,0.7254901960784313,stride_5s,boundary_pm_1s,102,0.7254901960784313
center,0,153,0.7574257425742574,stride_5s,boundary_pm_2s,202,0.7574257425742574
center,0,360,0.7211155378486056,stride_5s,boundary_pm_5s,502,0.7171314741035857
center,0,169,0.45066666666666666,stride_5s,start_0_5s,375,0.45066666666666666
center,0,613,0.4904,stride_5s,middle_5_25s,1250,0.4904
center,0,190,0.768,stride_5s,end_25_30s,250,0.76
first,0,912,0.48746666666666666,stride_1s,overall,1875,0.4864
first,0,23,0.46,stride_1s,boundary_pm_0.5s,50,0.46
first,0,43,0.4215686274509804,stride_1s,boundary_pm_1s,102,0.4215686274509804
first,0,111,0.5495049504950495,stride_1s,boundary_pm_2s,202,0.5495049504950495
first,0,290,0.5796812749003984,stride_1s,boundary_pm_5s,502,0.5776892430278885
first,0,206,0.5493333333333333,stride_1s,start_0_5s,375,0.5493333333333333
first,0,624,0.5,stride_1s,middle_5_25s,1250,0.4992
first,0,82,0.332,stride_1s,end_25_30s,250,0.328
majority,0,1072,0.5728,stride_1s,overall,1875,0.5717333333333333
majority,0,34,0.68,stride_1s,boundary_pm_0.5s,50,0.68
majority,0,72,0.7058823529411765,stride_1s,boundary_pm_1s,102,0.7058823529411765
majority,0,142,0.7029702970297029,stride_1s,boundary_pm_2s,202,0.7029702970297029
majority,0,327,0.6533864541832669,stride_1s,boundary_pm_5s,502,0.651394422310757
majority,0,161,0.42933333333333334,stride_1s,start_0_5s,375,0.42933333333333334
majority,0,738,0.5912,stride_1s,middle_5_25s,1250,0.5904
majority,0,173,0.696,stride_1s,end_25_30s,250,0.692
center,0,1027,0.5482666666666667,stride_1s,overall,1875,0.5477333333333333
center,0,37,0.74,stride_1s,boundary_pm_0.5s,50,0.74
center,0,77,0.7549019607843137,stride_1s,boundary_pm_1s,102,0.7549019607843137
center,0,152,0.7524752475247525,stride_1s,boundary_pm_2s,202,0.7524752475247525
center,0,342,0.6832669322709163,stride_1s,boundary_pm_5s,502,0.6812749003984063
center,0,157,0.4186666666666667,stride_1s,start_0_5s,375,0.4186666666666667
center,0,686,0.5488,stride_1s,middle_5_25s,1250,0.5488
center,0,184,0.74,stride_1s,end_25_30s,250,0.736
first,1,596,0.32,stride_15s,overall,1875,0.3178666666666667
first,1,20,0.4,stride_15s,boundary_pm_0.5s,50,0.4
first,1,40,0.39215686274509803,stride_15s,boundary_pm_1s,102,0.39215686274509803
first,1,76,0.3910891089108911,stride_15s,boundary_pm_2s,202,0.37623762376237624
first,1,181,0.3665338645418327,stride_15s,boundary_pm_5s,502,0.3605577689243028
first,1,179,0.48533333333333334,stride_15s,start_0_5s,375,0.47733333333333333
first,1,417,0.3344,stride_15s,middle_5_25s,1250,0.3336
first,1,0,0.0,stride_15s,end_25_30s,250,0.0
majority,1,596,0.32,stride_15s,overall,1875,0.3178666666666667
majority,1,20,0.4,stride_15s,boundary_pm_0.5s,50,0.4
majority,1,40,0.39215686274509803,stride_15s,boundary_pm_1s,102,0.39215686274509803
majority,1,76,0.3910891089108911,stride_15s,boundary_pm_2s,202,0.37623762376237624
majority,1,181,0.3665338645418327,stride_15s,boundary_pm_5s,502,0.3605577689243028
majority,1,179,0.48533333333333334,stride_15s,start_0_5s,375,0.47733333333333333
majority,1,417,0.3344,stride_15s,middle_5_25s,1250,0.3336
majority,1,0,0.0,stride_15s,end_25_30s,250,0.0
center,1,744,0.3989333333333333,stride_15s,overall,1875,0.3968
center,1,43,0.88,stride_15s,boundary_pm_0.5s,50,0.86
center,1,87,0.8627450980392157,stride_15s,boundary_pm_1s,102,0.8529411764705882
center,1,168,0.8514851485148515,stride_15s,boundary_pm_2s,202,0.8316831683168316
center,1,394,0.7908366533864541,stride_15s,boundary_pm_5s,502,0.7848605577689243
center,1,179,0.48533333333333334,stride_15s,start_0_5s,375,0.47733333333333333
center,1,352,0.2824,stride_15s,middle_5_25s,1250,0.2816
center,1,213,0.852,stride_15s,end_25_30s,250,0.852
first,1,857,0.4576,stride_5s,overall,1875,0.4570666666666667
first,1,25,0.5,stride_5s,boundary_pm_0.5s,50,0.5
first,1,46,0.45098039215686275,stride_5s,boundary_pm_1s,102,0.45098039215686275
first,1,89,0.4405940594059406,stride_5s,boundary_pm_2s,202,0.4405940594059406
first,1,207,0.41434262948207173,stride_5s,boundary_pm_5s,502,0.4123505976095618
first,1,205,0.5493333333333333,stride_5s,start_0_5s,375,0.5466666666666666
first,1,652,0.5216,stride_5s,middle_5_25s,1250,0.5216
first,1,0,0.0,stride_5s,end_25_30s,250,0.0
majority,1,870,0.46453333333333335,stride_5s,overall,1875,0.464
majority,1,33,0.66,stride_5s,boundary_pm_0.5s,50,0.66
majority,1,61,0.5980392156862745,stride_5s,boundary_pm_1s,102,0.5980392156862745
majority,1,114,0.5643564356435643,stride_5s,boundary_pm_2s,202,0.5643564356435643
majority,1,275,0.549800796812749,stride_5s,boundary_pm_5s,502,0.547808764940239
majority,1,172,0.4613333333333333,stride_5s,start_0_5s,375,0.45866666666666667
majority,1,597,0.4776,stride_5s,middle_5_25s,1250,0.4776
majority,1,101,0.404,stride_5s,end_25_30s,250,0.404
center,1,986,0.5285333333333333,stride_5s,overall,1875,0.5258666666666667
center,1,43,0.88,stride_5s,boundary_pm_0.5s,50,0.86
center,1,87,0.8627450980392157,stride_5s,boundary_pm_1s,102,0.8529411764705882
center,1,168,0.8514851485148515,stride_5s,boundary_pm_2s,202,0.8316831683168316
center,1,384,0.7729083665338645,stride_5s,boundary_pm_5s,502,0.7649402390438247
center,1,175,0.4746666666666667,stride_5s,start_0_5s,375,0.4666666666666667
center,1,604,0.484,stride_5s,middle_5_25s,1250,0.4832
center,1,207,0.832,stride_5s,end_25_30s,250,0.828
first,1,915,0.4885333333333333,stride_1s,overall,1875,0.488
first,1,25,0.5,stride_1s,boundary_pm_0.5s,50,0.5
first,1,47,0.46078431372549017,stride_1s,boundary_pm_1s,102,0.46078431372549017
first,1,114,0.5643564356435643,stride_1s,boundary_pm_2s,202,0.5643564356435643
first,1,296,0.5896414342629482,stride_1s,boundary_pm_5s,502,0.5896414342629482
first,1,210,0.56,stride_1s,start_0_5s,375,0.56
first,1,621,0.4976,stride_1s,middle_5_25s,1250,0.4968
first,1,84,0.336,stride_1s,end_25_30s,250,0.336
majority,1,1059,0.5664,stride_1s,overall,1875,0.5648
majority,1,42,0.88,stride_1s,boundary_pm_0.5s,50,0.84
majority,1,79,0.7843137254901961,stride_1s,boundary_pm_1s,102,0.7745098039215687
majority,1,158,0.7871287128712872,stride_1s,boundary_pm_2s,202,0.7821782178217822
majority,1,342,0.6832669322709163,stride_1s,boundary_pm_5s,502,0.6812749003984063
majority,1,162,0.43466666666666665,stride_1s,start_0_5s,375,0.432
majority,1,709,0.568,stride_1s,middle_5_25s,1250,0.5672
majority,1,189,0.756,stride_1s,end_25_30s,250,0.756
center,1,1077,0.5749333333333333,stride_1s,overall,1875,0.5744
center,1,43,0.88,stride_1s,boundary_pm_0.5s,50,0.86
center,1,87,0.8529411764705882,stride_1s,boundary_pm_1s,102,0.8529411764705882
center,1,169,0.8465346534653465,stride_1s,boundary_pm_2s,202,0.8366336633663366
center,1,382,0.7609561752988048,stride_1s,boundary_pm_5s,502,0.7609561752988048
center,1,173,0.4613333333333333,stride_1s,start_0_5s,375,0.4613333333333333
center,1,697,0.5584,stride_1s,middle_5_25s,1250,0.5576
center,1,207,0.828,stride_1s,end_25_30s,250,0.828
first,2,615,0.33066666666666666,stride_15s,overall,1875,0.328
first,2,24,0.5,stride_15s,boundary_pm_0.5s,50,0.48
first,2,50,0.5,stride_15s,boundary_pm_1s,102,0.49019607843137253
first,2,98,0.5,stride_15s,boundary_pm_2s,202,0.48514851485148514
first,2,210,0.4262948207171315,stride_15s,boundary_pm_5s,502,0.41832669322709165
first,2,208,0.5653333333333334,stride_15s,start_0_5s,375,0.5546666666666666
first,2,407,0.3264,stride_15s,middle_5_25s,1250,0.3256
first,2,0,0.0,stride_15s,end_25_30s,250,0.0
majority,2,615,0.33066666666666666,stride_15s,overall,1875,0.328
majority,2,24,0.5,stride_15s,boundary_pm_0.5s,50,0.48
majority,2,50,0.5,stride_15s,boundary_pm_1s,102,0.49019607843137253
majority,2,98,0.5,stride_15s,boundary_pm_2s,202,0.48514851485148514
