aggregation,audio_index,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
first,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
first,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
majority,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
majority,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
center,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
center,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
edge_weighted,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_weighted,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
voter_margin,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
voter_margin,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
entropy_weighted,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
entropy_weighted,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
edge_voter,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_voter,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
edge_entropy,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_entropy,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
edge_voter_entropy,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_voter_entropy,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
hidden_mean,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
hidden_mean,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
hidden_edge,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
hidden_edge,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
hidden_edge_voter,0,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
hidden_edge_voter,0,1.0,1045,0.5578666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5573333333333333
first,0,1.0,574,0.30666666666666664,stride_15s,nonoverlap_majority,1875,0.3061333333333333
first,0,1.0,922,0.4922666666666667,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.49173333333333336
majority,0,1.0,574,0.30666666666666664,stride_15s,nonoverlap_majority,1875,0.3061333333333333
majority,0,1.0,922,0.4922666666666667,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.49173333333333336
center,0,1.0,721,0.3856,stride_15s,nonoverlap_majority,1875,0.38453333333333334
center,0,1.0,771,0.4112,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4112
edge_weighted,0,1.0,720,0.38506666666666667,stride_15s,nonoverlap_majority,1875,0.384
edge_weighted,0,1.0,770,0.4106666666666667,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4106666666666667
voter_margin,0,1.0,732,0.3904,stride_15s,nonoverlap_majority,1875,0.3904
voter_margin,0,1.0,811,0.4325333333333333,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4325333333333333
entropy_weighted,0,1.0,734,0.3914666666666667,stride_15s,nonoverlap_majority,1875,0.3914666666666667
entropy_weighted,0,1.0,812,0.43306666666666666,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.43306666666666666
edge_voter,0,1.0,719,0.38453333333333334,stride_15s,nonoverlap_majority,1875,0.3834666666666667
edge_voter,0,1.0,769,0.41013333333333335,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.41013333333333335
edge_entropy,0,1.0,720,0.38506666666666667,stride_15s,nonoverlap_majority,1875,0.384
edge_entropy,0,1.0,769,0.41013333333333335,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.41013333333333335
edge_voter_entropy,0,1.0,721,0.3856,stride_15s,nonoverlap_majority,1875,0.38453333333333334
edge_voter_entropy,0,1.0,768,0.4096,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.4096
hidden_mean,0,1.0,901,0.4816,stride_15s,nonoverlap_majority,1875,0.4805333333333333
hidden_mean,0,1.0,791,0.42293333333333333,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.42186666666666667
hidden_edge,0,1.0,901,0.4816,stride_15s,nonoverlap_majority,1875,0.4805333333333333
hidden_edge,0,1.0,791,0.42293333333333333,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.42186666666666667
hidden_edge_voter,0,1.0,789,0.42186666666666667,stride_15s,nonoverlap_majority,1875,0.4208
hidden_edge_voter,0,1.0,741,0.3952,stride_15s,high_overlap_stride_1s_edge_voter,1875,0.3952
first,0,1.0,838,0.44906666666666667,stride_5s,nonoverlap_majority,1875,0.44693333333333335
first,0,1.0,1098,0.5872,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.5856
majority,0,1.0,915,0.4896,stride_5s,nonoverlap_majority,1875,0.488
majority,0,1.0,763,0.4069333333333333,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.4069333333333333
center,0,1.0,972,0.5194666666666666,stride_5s,nonoverlap_majority,1875,0.5184
center,0,1.0,740,0.39466666666666667,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.39466666666666667
edge_weighted,0,1.0,902,0.4816,stride_5s,nonoverlap_majority,1875,0.48106666666666664
edge_weighted,0,1.0,600,0.32,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.32
voter_margin,0,1.0,1008,0.5381333333333334,stride_5s,nonoverlap_majority,1875,0.5376
voter_margin,0,1.0,711,0.3792,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3792
entropy_weighted,0,1.0,1005,0.5365333333333333,stride_5s,nonoverlap_majority,1875,0.536
entropy_weighted,0,1.0,699,0.3728,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3728
edge_voter,0,1.0,902,0.4816,stride_5s,nonoverlap_majority,1875,0.48106666666666664
edge_voter,0,1.0,601,0.32053333333333334,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.32053333333333334
edge_entropy,0,1.0,902,0.4816,stride_5s,nonoverlap_majority,1875,0.48106666666666664
edge_entropy,0,1.0,601,0.32053333333333334,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.32053333333333334
edge_voter_entropy,0,1.0,902,0.4816,stride_5s,nonoverlap_majority,1875,0.48106666666666664
edge_voter_entropy,0,1.0,599,0.3194666666666667,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3194666666666667
hidden_mean,0,1.0,1118,0.5973333333333334,stride_5s,nonoverlap_majority,1875,0.5962666666666666
hidden_mean,0,1.0,829,0.4421333333333333,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.4421333333333333
hidden_edge,0,1.0,1118,0.5973333333333334,stride_5s,nonoverlap_majority,1875,0.5962666666666666
hidden_edge,0,1.0,829,0.4421333333333333,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.4421333333333333
hidden_edge_voter,0,1.0,1072,0.5717333333333333,stride_5s,nonoverlap_majority,1875,0.5717333333333333
hidden_edge_voter,0,1.0,718,0.38506666666666667,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.38293333333333335
first,0,1.0,912,0.48746666666666666,stride_1s,nonoverlap_majority,1875,0.4864
first,0,1.0,1165,0.6224,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.6213333333333333
majority,0,1.0,1072,0.5728,stride_1s,nonoverlap_majority,1875,0.5717333333333333
majority,0,1.0,470,0.25066666666666665,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.25066666666666665
center,0,1.0,1027,0.5482666666666667,stride_1s,nonoverlap_majority,1875,0.5477333333333333
center,0,1.0,586,0.31253333333333333,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.31253333333333333
edge_weighted,0,1.0,1045,0.5578666666666666,stride_1s,nonoverlap_majority,1875,0.5573333333333333
edge_weighted,0,1.0,0,0.0,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0
voter_margin,0,1.0,1118,0.5973333333333334,stride_1s,nonoverlap_majority,1875,0.5962666666666666
voter_margin,0,1.0,441,0.2352,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.2352
entropy_weighted,0,1.0,1122,0.5989333333333333,stride_1s,nonoverlap_majority,1875,0.5984
entropy_weighted,0,1.0,443,0.23626666666666668,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.23626666666666668
edge_voter,0,1.0,1045,0.5578666666666666,stride_1s,nonoverlap_majority,1875,0.5573333333333333
edge_voter,0,1.0,0,0.0,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0
edge_entropy,0,1.0,1046,0.5584,stride_1s,nonoverlap_majority,1875,0.5578666666666666
edge_entropy,0,1.0,3,0.0016,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0016
edge_voter_entropy,0,1.0,1047,0.5589333333333333,stride_1s,nonoverlap_majority,1875,0.5584
edge_voter_entropy,0,1.0,4,0.0021333333333333334,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.0021333333333333334
hidden_mean,0,1.0,1162,0.6208,stride_1s,nonoverlap_majority,1875,0.6197333333333334
hidden_mean,0,1.0,774,0.41386666666666666,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.4128
hidden_edge,0,1.0,1162,0.6208,stride_1s,nonoverlap_majority,1875,0.6197333333333334
hidden_edge,0,1.0,774,0.41386666666666666,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.4128
hidden_edge_voter,0,1.0,1117,0.5989333333333333,stride_1s,nonoverlap_majority,1875,0.5957333333333333
hidden_edge_voter,0,1.0,678,0.36373333333333335,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.3616
first,1,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
first,1,1.0,1074,0.5738666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5728
majority,1,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
majority,1,1.0,1074,0.5738666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5728
center,1,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
center,1,1.0,1074,0.5738666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5728
edge_weighted,1,1.0,0,0.0,nonoverlap_30s,nonoverlap_majority,1875,0.0
edge_weighted,1,1.0,1074,0.5738666666666666,nonoverlap_30s,high_overlap_stride_1s_edge_voter,1875,0.5728
