aggregation,audio_index,distance_bin,edit_distance,mismatch_rate,policy,tokens,ued
first,0,0-0.5s,22,0.44,stride_15s,50,0.44
first,0,0.5-1s,17,0.3541666666666667,stride_15s,48,0.3541666666666667
first,0,1-2s,40,0.4,stride_15s,100,0.4
first,0,2-5s,100,0.3333333333333333,stride_15s,300,0.3333333333333333
first,0,5-15s,395,0.396,stride_15s,1000,0.395
majority,0,0-0.5s,22,0.44,stride_15s,50,0.44
majority,0,0.5-1s,17,0.3541666666666667,stride_15s,48,0.3541666666666667
majority,0,1-2s,40,0.4,stride_15s,100,0.4
majority,0,2-5s,100,0.3333333333333333,stride_15s,300,0.3333333333333333
majority,0,5-15s,395,0.396,stride_15s,1000,0.395
first,0,0-0.5s,24,0.48,stride_5s,50,0.48
first,0,0.5-1s,22,0.4583333333333333,stride_5s,48,0.4583333333333333
first,0,1-2s,41,0.42,stride_5s,100,0.41
first,0,2-5s,122,0.4066666666666667,stride_5s,300,0.4066666666666667
first,0,5-15s,629,0.631,stride_5s,1000,0.629
majority,0,0-0.5s,34,0.68,stride_5s,50,0.68
majority,0,0.5-1s,30,0.625,stride_5s,48,0.625
majority,0,1-2s,56,0.57,stride_5s,100,0.56
majority,0,2-5s,166,0.5533333333333333,stride_5s,300,0.5533333333333333
majority,0,5-15s,609,0.61,stride_5s,1000,0.609
first,0,0-0.5s,10,0.4,stride_1s,25,0.4
first,0,0.5-1s,6,0.25,stride_1s,24,0.25
first,0,1-2s,21,0.42,stride_1s,50,0.42
first,0,2-5s,55,0.36666666666666664,stride_1s,150,0.36666666666666664
first,0,5-15s,377,0.5407725321888412,stride_1s,699,0.5393419170243204
majority,0,0-0.5s,13,0.52,stride_1s,25,0.52
majority,0,0.5-1s,18,0.75,stride_1s,24,0.75
majority,0,1-2s,28,0.56,stride_1s,50,0.56
majority,0,2-5s,96,0.6466666666666666,stride_1s,150,0.64
majority,0,5-15s,480,0.6866952789699571,stride_1s,699,0.6866952789699571
