aggregation,audio_index,edit_distance,mismatch_rate,policy,region,tokens,ued
first,0,574,0.30666666666666664,stride_15s,overall,1875,0.3061333333333333
first,0,22,0.44,stride_15s,boundary_pm_0.5s,50,0.44
first,0,40,0.39215686274509803,stride_15s,boundary_pm_1s,102,0.39215686274509803
first,0,81,0.400990099009901,stride_15s,boundary_pm_2s,202,0.400990099009901
first,0,180,0.35856573705179284,stride_15s,boundary_pm_5s,502,0.35856573705179284
first,0,179,0.47733333333333333,stride_15s,start_0_5s,375,0.47733333333333333
first,0,395,0.3168,stride_15s,middle_5_25s,1250,0.316
first,0,0,0.0,stride_15s,end_25_30s,250,0.0
majority,0,574,0.30666666666666664,stride_15s,overall,1875,0.3061333333333333
majority,0,22,0.44,stride_15s,boundary_pm_0.5s,50,0.44
majority,0,40,0.39215686274509803,stride_15s,boundary_pm_1s,102,0.39215686274509803
majority,0,81,0.400990099009901,stride_15s,boundary_pm_2s,202,0.400990099009901
majority,0,180,0.35856573705179284,stride_15s,boundary_pm_5s,502,0.35856573705179284
majority,0,179,0.47733333333333333,stride_15s,start_0_5s,375,0.47733333333333333
majority,0,395,0.3168,stride_15s,middle_5_25s,1250,0.316
majority,0,0,0.0,stride_15s,end_25_30s,250,0.0
first,0,838,0.44906666666666667,stride_5s,overall,1875,0.44693333333333335
first,0,24,0.48,stride_5s,boundary_pm_0.5s,50,0.48
first,0,48,0.47058823529411764,stride_5s,boundary_pm_1s,102,0.47058823529411764
first,0,88,0.44554455445544555,stride_5s,boundary_pm_2s,202,0.43564356435643564
first,0,210,0.42231075697211157,stride_5s,boundary_pm_5s,502,0.41832669322709165
first,0,208,0.56,stride_5s,start_0_5s,375,0.5546666666666666
first,0,630,0.5056,stride_5s,middle_5_25s,1250,0.504
first,0,0,0.0,stride_5s,end_25_30s,250,0.0
majority,0,915,0.4896,stride_5s,overall,1875,0.488
majority,0,34,0.68,stride_5s,boundary_pm_0.5s,50,0.68
majority,0,67,0.6568627450980392,stride_5s,boundary_pm_1s,102,0.6568627450980392
majority,0,120,0.6039603960396039,stride_5s,boundary_pm_2s,202,0.594059405940594
majority,0,288,0.5776892430278885,stride_5s,boundary_pm_5s,502,0.5737051792828686
majority,0,159,0.42933333333333334,stride_5s,start_0_5s,375,0.424
majority,0,629,0.504,stride_5s,middle_5_25s,1250,0.5032
majority,0,127,0.508,stride_5s,end_25_30s,250,0.508
first,0,470,0.35547169811320756,stride_1s,overall,1325,0.35471698113207545
first,0,10,0.4,stride_1s,boundary_pm_0.5s,25,0.4
first,0,17,0.3333333333333333,stride_1s,boundary_pm_1s,51,0.3333333333333333
first,0,38,0.37623762376237624,stride_1s,boundary_pm_2s,101,0.37623762376237624
first,0,93,0.3705179282868526,stride_1s,boundary_pm_5s,251,0.3705179282868526
first,0,92,0.368,stride_1s,start_0_5s,250,0.368
first,0,378,0.3989473684210526,stride_1s,middle_5_25s,950,0.39789473684210525
first,0,0,0.0,stride_1s,end_25_30s,125,0.0
majority,0,738,0.5577358490566038,stride_1s,overall,1325,0.5569811320754717
majority,0,13,0.52,stride_1s,boundary_pm_0.5s,25,0.52
majority,0,33,0.6470588235294118,stride_1s,boundary_pm_1s,51,0.6470588235294118
majority,0,61,0.6039603960396039,stride_1s,boundary_pm_2s,101,0.6039603960396039
majority,0,157,0.6294820717131474,stride_1s,boundary_pm_5s,251,0.6254980079681275
majority,0,73,0.292,stride_1s,start_0_5s,250,0.292
majority,0,574,0.6042105263157894,stride_1s,middle_5_25s,950,0.6042105263157894
majority,0,91,0.736,stride_1s,end_25_30s,125,0.728
