clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
362,362,gaussian_25db,gaussian,14.46,,fleurs_fr_dev100:0,fr,0.018912027199320017,25,fleurs_fr_dev100,0.24585635359116023
150,150,gaussian_25db,gaussian,6.0,,fleurs_fr_dev100:1,fr,0.03230769230769231,25,fleurs_fr_dev100,0.42
384,384,gaussian_25db,gaussian,15.36,,fleurs_fr_dev100:2,fr,0.016626602564102564,25,fleurs_fr_dev100,0.21614583333333334
197,197,gaussian_25db,gaussian,7.86,,fleurs_fr_dev100:3,fr,0.023037875829754004,25,fleurs_fr_dev100,0.29949238578680204
213,213,gaussian_25db,gaussian,8.52,,fleurs_fr_dev100:4,fr,0.00866738894907909,25,fleurs_fr_dev100,0.11267605633802817
185,185,gaussian_25db,gaussian,7.38,,fleurs_fr_dev100:5,fr,0.018295218295218296,25,fleurs_fr_dev100,0.23783783783783785
300,300,gaussian_25db,gaussian,12.0,,fleurs_fr_dev100:6,fr,0.013333333333333334,25,fleurs_fr_dev100,0.17333333333333334
173,173,gaussian_25db,gaussian,6.9,,fleurs_fr_dev100:7,fr,0.020008892841262782,25,fleurs_fr_dev100,0.26011560693641617
263,263,gaussian_25db,gaussian,10.5,,fleurs_fr_dev100:8,fr,0.012284293653114946,25,fleurs_fr_dev100,0.1596958174904943
210,210,gaussian_25db,gaussian,8.4,,fleurs_fr_dev100:9,fr,0.02271062271062271,25,fleurs_fr_dev100,0.29523809523809524
186,186,gaussian_25db,gaussian,7.44,,fleurs_fr_dev100:10,fr,0.01075268817204301,25,fleurs_fr_dev100,0.13978494623655913
204,204,gaussian_25db,gaussian,8.16,,fleurs_fr_dev100:11,fr,0.029034690799396683,25,fleurs_fr_dev100,0.37745098039215685
165,165,gaussian_25db,gaussian,6.6,,fleurs_fr_dev100:12,fr,0.03682983682983683,25,fleurs_fr_dev100,0.47878787878787876
185,185,gaussian_25db,gaussian,7.38,,fleurs_fr_dev100:13,fr,0.017463617463617465,25,fleurs_fr_dev100,0.22702702702702704
276,276,gaussian_25db,gaussian,11.04,,fleurs_fr_dev100:14,fr,0.00919732441471572,25,fleurs_fr_dev100,0.11956521739130435
200,200,gaussian_25db,gaussian,7.98,,fleurs_fr_dev100:15,fr,0.02076923076923077,25,fleurs_fr_dev100,0.27
339,339,gaussian_25db,gaussian,13.56,,fleurs_fr_dev100:16,fr,0.02132970274563195,25,fleurs_fr_dev100,0.27728613569321536
294,294,gaussian_25db,gaussian,11.76,,fleurs_fr_dev100:17,fr,0.021454735740450023,25,fleurs_fr_dev100,0.2789115646258503
237,237,gaussian_25db,gaussian,9.48,,fleurs_fr_dev100:18,fr,0.018175916910094125,25,fleurs_fr_dev100,0.23628691983122363
198,198,gaussian_25db,gaussian,7.92,,fleurs_fr_dev100:19,fr,0.016317016317016316,25,fleurs_fr_dev100,0.21212121212121213
224,224,gaussian_25db,gaussian,8.94,,fleurs_fr_dev100:20,fr,0.018543956043956044,25,fleurs_fr_dev100,0.24107142857142858
287,287,gaussian_25db,gaussian,11.46,,fleurs_fr_dev100:21,fr,0.03189493433395872,25,fleurs_fr_dev100,0.4146341463414634
210,210,gaussian_25db,gaussian,8.4,,fleurs_fr_dev100:22,fr,0.02490842490842491,25,fleurs_fr_dev100,0.3238095238095238
327,327,gaussian_25db,gaussian,13.08,,fleurs_fr_dev100:23,fr,0.013643848506233828,25,fleurs_fr_dev100,0.17737003058103976
239,239,gaussian_25db,gaussian,9.54,,fleurs_fr_dev100:24,fr,0.04280656581911812,25,fleurs_fr_dev100,0.5564853556485355
246,246,gaussian_25db,gaussian,9.84,,fleurs_fr_dev100:25,fr,0.017510944340212633,25,fleurs_fr_dev100,0.22764227642276422
222,222,gaussian_25db,gaussian,8.88,,fleurs_fr_dev100:26,fr,0.015246015246015246,25,fleurs_fr_dev100,0.1981981981981982
240,240,gaussian_25db,gaussian,9.6,,fleurs_fr_dev100:27,fr,0.02371794871794872,25,fleurs_fr_dev100,0.30833333333333335
234,234,gaussian_25db,gaussian,9.36,,fleurs_fr_dev100:28,fr,0.015779092702169626,25,fleurs_fr_dev100,0.20512820512820512
318,318,gaussian_25db,gaussian,12.72,,fleurs_fr_dev100:29,fr,0.018384131591678763,25,fleurs_fr_dev100,0.2389937106918239
351,351,gaussian_25db,gaussian,14.04,,fleurs_fr_dev100:30,fr,0.021477098400175323,25,fleurs_fr_dev100,0.2792022792022792
243,243,gaussian_25db,gaussian,9.72,,fleurs_fr_dev100:31,fr,0.012029123140234252,25,fleurs_fr_dev100,0.15637860082304528
150,150,gaussian_25db,gaussian,6.0,,fleurs_fr_dev100:32,fr,0.02769230769230769,25,fleurs_fr_dev100,0.36
291,291,gaussian_25db,gaussian,11.64,,fleurs_fr_dev100:33,fr,0.02379064234734338,25,fleurs_fr_dev100,0.30927835051546393
221,221,gaussian_25db,gaussian,8.82,,fleurs_fr_dev100:34,fr,0.01183431952662722,25,fleurs_fr_dev100,0.15384615384615385
297,297,gaussian_25db,gaussian,11.88,,fleurs_fr_dev100:35,fr,0.018648018648018648,25,fleurs_fr_dev100,0.24242424242424243
347,347,gaussian_25db,gaussian,13.86,,fleurs_fr_dev100:36,fr,0.02039459099977832,25,fleurs_fr_dev100,0.26512968299711814
222,222,gaussian_25db,gaussian,8.88,,fleurs_fr_dev100:37,fr,0.029106029106029108,25,fleurs_fr_dev100,0.3783783783783784
213,213,gaussian_25db,gaussian,8.52,,fleurs_fr_dev100:38,fr,0.01805706031058144,25,fleurs_fr_dev100,0.2347417840375587
239,239,gaussian_25db,gaussian,9.54,,fleurs_fr_dev100:39,fr,0.025426456388799482,25,fleurs_fr_dev100,0.3305439330543933
