corruption,items,language,mean_nued,mean_ued
aac_32k,100,fr,0.019460120387583577,0.2529815650385865
aac_32k,100,zh,0.010548713828993382,0.13713327977691392
babble_4spk_10db,100,fr,0.04669860638880127,0.6070818830544167
babble_4spk_10db,100,zh,0.03207965057011469,0.417035457411491
brown_16db,100,fr,0.007294676125078507,0.09483078962602061
brown_16db,100,zh,0.003795819663224761,0.0493456556219219
clipping_0p50,100,fr,0.0,0.0
clipping_0p50,100,zh,0.005405504052320824,0.07027155268017073
competing_speech_16db,100,fr,0.03705726981446266,0.4817445075880146
competing_speech_16db,100,zh,0.021157491896545467,0.2750473946550911
dropout_5pct,100,fr,0.010068484351267329,0.13089029656647524
dropout_5pct,100,zh,0.006406578146820425,0.08328551590866554
eq_tilt,100,fr,0.012595861523001692,0.16374619979902205
eq_tilt,100,zh,0.007566255889184842,0.09836132655940295
gaussian_25db,100,fr,0.02026597246855853,0.2634576420912609
gaussian_25db,100,zh,0.01006395917857545,0.13083146932148085
mp3_32k,100,fr,0.018904020791215743,0.2457522702858047
mp3_32k,100,zh,0.008655784649315124,0.11252520044109664
opus_24k,100,fr,0.015865749320092028,0.20625474116119638
opus_24k,100,zh,0.007976518624392673,0.10369474211710478
pink_22db,100,fr,0.018075661793056197,0.23498360330973053
pink_22db,100,zh,0.010213218867133394,0.1327718452727341
reverb_small_room,100,fr,0.02815889051005799,0.3660655766307539
reverb_small_room,100,zh,0.01845519462693391,0.23991753015014086
telephone_bandpass,100,fr,0.019526641987941185,0.25384634584323534
telephone_bandpass,100,zh,0.010907686738847368,0.1417999276050158
