corruption,items,language,mean_nued,mean_ued
aac_32k,50,fr,0.01959341017717854,0.2547143323033211
aac_32k,50,zh,0.010719969342393242,0.13935960145111212
babble_4spk_10db,50,fr,0.04909374876846871,0.6382187339900933
babble_4spk_10db,50,zh,0.03179755890125666,0.41336826571633667
brown_16db,50,fr,0.00807706824383503,0.10500188716985537
brown_16db,50,zh,0.0037272056167651905,0.048453673017947486
clipping_0p50,50,fr,0.0,0.0
clipping_0p50,50,zh,0.005349661765107075,0.06954560294639198
competing_speech_16db,50,fr,0.035221063626343696,0.45787382714246805
competing_speech_16db,50,zh,0.022172694913342436,0.2882450338734517
dropout_5pct,50,fr,0.01065440255910537,0.1385072332683698
dropout_5pct,50,zh,0.0073484431860169775,0.09552976141822069
eq_tilt,50,fr,0.012476700514920397,0.16219710669396512
eq_tilt,50,zh,0.007037875601397046,0.09149238281816158
gaussian_25db,50,fr,0.020054176259666337,0.26070429137566237
gaussian_25db,50,zh,0.010042242017886498,0.13054914623252448
mp3_32k,50,fr,0.018396463251731145,0.2391540222725049
mp3_32k,50,zh,0.009180501227659663,0.11934651595957561
opus_24k,50,fr,0.015866836111556145,0.20626886945022982
opus_24k,50,zh,0.00788301229323801,0.10247915981209416
pink_22db,50,fr,0.017924429141458774,0.23301757883896407
pink_22db,50,zh,0.009145835047071067,0.1188958556119239
reverb_small_room,50,fr,0.027994868979817063,0.3639332967376218
reverb_small_room,50,zh,0.017805793881498472,0.2314753204594801
telephone_bandpass,50,fr,0.019371249253354452,0.2518262402936079
telephone_bandpass,50,zh,0.010259158305629193,0.1333690579731795
