clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
362,362,gaussian_25db,gaussian,14.46,,fleurs_fr_dev100:0,fr,0.018912027199320017,25,fleurs_fr_dev100,0.24585635359116023
150,150,gaussian_25db,gaussian,6.0,,fleurs_fr_dev100:1,fr,0.03230769230769231,25,fleurs_fr_dev100,0.42
384,384,gaussian_25db,gaussian,15.36,,fleurs_fr_dev100:2,fr,0.016626602564102564,25,fleurs_fr_dev100,0.21614583333333334
197,197,gaussian_25db,gaussian,7.86,,fleurs_fr_dev100:3,fr,0.023037875829754004,25,fleurs_fr_dev100,0.29949238578680204
213,213,gaussian_25db,gaussian,8.52,,fleurs_fr_dev100:4,fr,0.00866738894907909,25,fleurs_fr_dev100,0.11267605633802817
124,124,gaussian_25db,gaussian,4.944,,cv21_zh_dev100:0,zh,0.004962779156327543,25,cv21_zh_dev100,0.06451612903225806
120,120,gaussian_25db,gaussian,4.776,,cv21_zh_dev100:1,zh,0.015384615384615385,25,cv21_zh_dev100,0.2
158,158,gaussian_25db,gaussian,6.288,,cv21_zh_dev100:2,zh,0.006329113924050633,25,cv21_zh_dev100,0.08227848101265822
179,179,gaussian_25db,gaussian,7.128,,cv21_zh_dev100:3,zh,0.01289213579716373,25,cv21_zh_dev100,0.16759776536312848
114,114,gaussian_25db,gaussian,4.56,,cv21_zh_dev100:4,zh,0.004048582995951417,25,cv21_zh_dev100,0.05263157894736842
362,362,pink_22db,pink,14.46,,fleurs_fr_dev100:0,fr,0.016999575010624733,22,fleurs_fr_dev100,0.22099447513812154
150,150,pink_22db,pink,6.0,,fleurs_fr_dev100:1,fr,0.028205128205128202,22,fleurs_fr_dev100,0.36666666666666664
384,384,pink_22db,pink,15.36,,fleurs_fr_dev100:2,fr,0.015424679487179488,22,fleurs_fr_dev100,0.20052083333333334
197,197,pink_22db,pink,7.86,,fleurs_fr_dev100:3,fr,0.022256930886372508,22,fleurs_fr_dev100,0.2893401015228426
213,213,pink_22db,pink,8.52,,fleurs_fr_dev100:4,fr,0.007583965330444203,22,fleurs_fr_dev100,0.09859154929577464
124,124,pink_22db,pink,4.944,,cv21_zh_dev100:0,zh,0.004342431761786601,22,cv21_zh_dev100,0.056451612903225805
120,120,pink_22db,pink,4.776,,cv21_zh_dev100:1,zh,0.008974358974358974,22,cv21_zh_dev100,0.11666666666666667
158,158,pink_22db,pink,6.288,,cv21_zh_dev100:2,zh,0.006329113924050633,22,cv21_zh_dev100,0.08227848101265822
179,179,pink_22db,pink,7.128,,cv21_zh_dev100:3,zh,0.013321873657069189,22,cv21_zh_dev100,0.17318435754189945
114,114,pink_22db,pink,4.56,,cv21_zh_dev100:4,zh,0.004723346828609986,22,cv21_zh_dev100,0.06140350877192982
362,362,brown_16db,brown,14.46,,fleurs_fr_dev100:0,fr,0.00786230344241394,16,fleurs_fr_dev100,0.10220994475138122
150,150,brown_16db,brown,6.0,,fleurs_fr_dev100:1,fr,0.013846153846153845,16,fleurs_fr_dev100,0.18
384,384,brown_16db,brown,15.36,,fleurs_fr_dev100:2,fr,0.003605769230769231,16,fleurs_fr_dev100,0.046875
197,197,brown_16db,brown,7.86,,fleurs_fr_dev100:3,fr,0.005076142131979696,16,fleurs_fr_dev100,0.06598984771573604
213,213,brown_16db,brown,8.52,,fleurs_fr_dev100:4,fr,0.0021668472372697724,16,fleurs_fr_dev100,0.028169014084507043
124,124,brown_16db,brown,4.944,,cv21_zh_dev100:0,zh,0.0037220843672456576,16,cv21_zh_dev100,0.04838709677419355
120,120,brown_16db,brown,4.776,,cv21_zh_dev100:1,zh,0.005769230769230769,16,cv21_zh_dev100,0.075
158,158,brown_16db,brown,6.288,,cv21_zh_dev100:2,zh,0.0029211295034079843,16,cv21_zh_dev100,0.0379746835443038
179,179,brown_16db,brown,7.128,,cv21_zh_dev100:3,zh,0.004297378599054576,16,cv21_zh_dev100,0.055865921787709494
114,114,brown_16db,brown,4.56,,cv21_zh_dev100:4,zh,0.0020242914979757085,16,cv21_zh_dev100,0.02631578947368421
362,362,bitcrush_10bit,bit_crush,14.46,10,fleurs_fr_dev100:0,fr,0.014237144071398216,,fleurs_fr_dev100,0.1850828729281768
150,150,bitcrush_10bit,bit_crush,6.0,10,fleurs_fr_dev100:1,fr,0.03948717948717949,,fleurs_fr_dev100,0.5133333333333333
384,384,bitcrush_10bit,bit_crush,15.36,10,fleurs_fr_dev100:2,fr,0.008814102564102564,,fleurs_fr_dev100,0.11458333333333333
197,197,bitcrush_10bit,bit_crush,7.86,10,fleurs_fr_dev100:3,fr,0.012495119094103864,,fleurs_fr_dev100,0.16243654822335024
213,213,bitcrush_10bit,bit_crush,8.52,10,fleurs_fr_dev100:4,fr,0.0021668472372697724,,fleurs_fr_dev100,0.028169014084507043
124,124,bitcrush_10bit,bit_crush,4.944,10,cv21_zh_dev100:0,zh,0.0024813895781637717,,cv21_zh_dev100,0.03225806451612903
120,120,bitcrush_10bit,bit_crush,4.776,10,cv21_zh_dev100:1,zh,0.005769230769230769,,cv21_zh_dev100,0.075
158,158,bitcrush_10bit,bit_crush,6.288,10,cv21_zh_dev100:2,zh,0.0004868549172346641,,cv21_zh_dev100,0.006329113924050633
179,179,bitcrush_10bit,bit_crush,7.128,10,cv21_zh_dev100:3,zh,0.003008165019338204,,cv21_zh_dev100,0.03910614525139665
114,114,bitcrush_10bit,bit_crush,4.56,10,cv21_zh_dev100:4,zh,0.0,,cv21_zh_dev100,0.0
362,362,clipping_0p50,clipping,14.46,0.5,fleurs_fr_dev100:0,fr,0.0,,fleurs_fr_dev100,0.0
150,150,clipping_0p50,clipping,6.0,0.5,fleurs_fr_dev100:1,fr,0.0,,fleurs_fr_dev100,0.0
