corruption,items,language,mean_nued,mean_ued
bitcrush_10bit,5,fr,0.01544007849081078,0.20072102038054015
bitcrush_10bit,5,zh,0.002349128056793481,0.030538664738315263
brown_16db,5,fr,0.006511443177717296,0.08464876131032487
brown_16db,5,zh,0.0037468229473829385,0.04870869831597821
clipping_0p50,5,fr,0.0,0.0
clipping_0p50,5,zh,0.0038898510194368824,0.050568063252679464
competing_speech_16db,5,fr,0.027713632793400035,0.36027722631420045
competing_speech_16db,5,zh,0.01787765887736665,0.23240956540576638
dropout_5pct,5,fr,0.012073445047550025,0.1569547856181503
dropout_5pct,5,zh,0.015792224529244205,0.20529891888017468
eq_tilt,5,fr,0.01170526860286138,0.15216849183719794
eq_tilt,5,zh,0.007936146131449101,0.1031698997088383
gaussian_25db,5,fr,0.0199103173699896,0.25883412580986476
gaussian_25db,5,zh,0.008723445451621742,0.11340479087108264
pink_22db,5,fr,0.018094055783949826,0.23522272519134776
pink_22db,5,zh,0.007538225029175077,0.09799692537927598
reverb_small_room,5,fr,0.032479488878239426,0.4222333554171126
reverb_small_room,5,zh,0.01729281596716042,0.22480660757308546
telephone_bandpass,5,fr,0.01731933360628324,0.22515133688168215
telephone_bandpass,5,zh,0.009742579470341907,0.1266535331144448
