log_index,approx_step,loss,grad_norm,learning_rate,epoch
1,25,24.3145,251.37673950195312,3.6e-06,0.1
2,50,1.5846,70.01354217529297,7.35e-06,0.2
3,75,-0.7396,177.2227020263672,1.11e-05,0.3
4,100,-1.4873,376.6308288574219,1.485e-05,0.4
5,125,-1.6749,28.350677490234375,1.46e-05,0.5
6,150,-1.9722,25.62691879272461,1.4183333333333334e-05,0.6
7,175,-2.0427,25.035207748413086,1.3766666666666668e-05,0.7
8,200,-2.2361,20.691736221313477,1.3350000000000001e-05,0.8
9,225,-2.3607,19.255266189575195,1.2933333333333334e-05,0.9
10,250,-2.3407,20.925182342529297,1.2516666666666667e-05,1.0
11,275,-3.0011,20.214462280273438,1.21e-05,1.1
12,300,-3.0621,20.836444854736328,1.1683333333333334e-05,1.2
13,325,-3.0815,20.739028930664062,1.1266666666666667e-05,1.3
14,350,-3.0852,22.252155303955078,1.0850000000000001e-05,1.4
15,375,-3.1898,17.95735740661621,1.0433333333333334e-05,1.5
16,400,-3.1996,19.880115509033203,1.0016666666666667e-05,1.6
17,425,-3.2191,17.880186080932617,9.600000000000001e-06,1.7
18,450,-3.2766,19.101486206054688,9.183333333333334e-06,1.8
19,475,-3.3866,20.091489791870117,8.766666666666667e-06,1.9
20,500,-3.3811,19.272449493408203,8.35e-06,2.0
21,525,-4.0834,18.2609920501709,7.933333333333332e-06,2.1
22,550,-4.0855,16.310619354248047,7.516666666666666e-06,2.2
23,575,-4.0204,18.402591705322266,7.1e-06,2.3
24,600,-4.128,16.04114532470703,6.6833333333333334e-06,2.4
25,625,-4.1093,16.783679962158203,6.266666666666667e-06,2.5
26,650,-4.1386,17.241363525390625,5.850000000000001e-06,2.6
27,675,-4.1013,18.517637252807617,5.4333333333333335e-06,2.7
28,700,-4.2033,17.78386878967285,5.016666666666666e-06,2.8
29,725,-4.2646,15.662763595581055,4.6e-06,2.9
30,750,-4.2187,19.414182662963867,4.183333333333334e-06,3.0
31,775,-4.6094,14.136686325073242,3.766666666666667e-06,3.1
32,800,-4.7117,16.440500259399414,3.35e-06,3.2
33,825,-4.6422,13.564854621887207,2.9333333333333338e-06,3.3
34,850,-4.6908,17.52845573425293,2.5166666666666666e-06,3.4
35,875,-4.6325,12.12226390838623,2.1000000000000002e-06,3.5
36,900,-4.716,14.608297348022461,1.6833333333333335e-06,3.6
37,925,-4.7263,13.576231956481934,1.2666666666666667e-06,3.7
38,950,-4.7018,14.42860221862793,8.5e-07,3.8
39,975,-4.7233,12.829236030578613,4.3333333333333335e-07,3.9
40,1000,-4.7764,12.515926361083984,1.6666666666666667e-08,4.0
