log_index,approx_step,loss,grad_norm,learning_rate,epoch
1,25,16.327,678.7021484375,3.6e-06,0.1
2,50,1.4075,118.16958618164062,7.35e-06,0.2
3,75,-0.5265,54.59140396118164,1.11e-05,0.3
4,100,-1.3479,25.27829933166504,1.485e-05,0.4
5,125,-1.6389,35.12334060668945,1.46e-05,0.5
6,150,-1.9754,24.04774284362793,1.4183333333333334e-05,0.6
7,175,-2.0471,23.931739807128906,1.3766666666666668e-05,0.7
8,200,-2.2451,22.275592803955078,1.3350000000000001e-05,0.8
9,225,-2.3387,20.966506958007812,1.2933333333333334e-05,0.9
10,250,-2.3299,21.34158706665039,1.2516666666666667e-05,1.0
11,275,-2.971,19.169475555419922,1.21e-05,1.1
12,300,-3.0412,21.539155960083008,1.1683333333333334e-05,1.2
13,325,-3.0636,20.478605270385742,1.1266666666666667e-05,1.3
14,350,-3.0716,19.929183959960938,1.0850000000000001e-05,1.4
15,375,-3.1873,19.829608917236328,1.0433333333333334e-05,1.5
16,400,-3.216,18.072633743286133,1.0016666666666667e-05,1.6
17,425,-3.2288,17.85426139831543,9.600000000000001e-06,1.7
18,450,-3.2602,19.550416946411133,9.183333333333334e-06,1.8
19,475,-3.3606,21.4472713470459,8.766666666666667e-06,1.9
20,500,-3.3807,17.781463623046875,8.35e-06,2.0
21,525,-4.0814,18.614349365234375,7.933333333333332e-06,2.1
22,550,-4.0895,17.04656219482422,7.516666666666666e-06,2.2
23,575,-4.0362,19.70028305053711,7.1e-06,2.3
24,600,-4.1269,16.860593795776367,6.6833333333333334e-06,2.4
25,625,-4.1048,17.85542106628418,6.266666666666667e-06,2.5
26,650,-4.125,17.012290954589844,5.850000000000001e-06,2.6
27,675,-4.1205,18.357515335083008,5.4333333333333335e-06,2.7
28,700,-4.195,17.400989532470703,5.016666666666666e-06,2.8
29,725,-4.2605,16.17617416381836,4.6e-06,2.9
30,750,-4.2324,17.969772338867188,4.183333333333334e-06,3.0
31,775,-4.6107,13.941396713256836,3.766666666666667e-06,3.1
32,800,-4.7124,18.584524154663086,3.35e-06,3.2
33,825,-4.653,13.220052719116211,2.9333333333333338e-06,3.3
34,850,-4.6825,17.548521041870117,2.5166666666666666e-06,3.4
35,875,-4.6409,12.330312728881836,2.1000000000000002e-06,3.5
36,900,-4.7141,14.429224967956543,1.6833333333333335e-06,3.6
37,925,-4.7318,13.612714767456055,1.2666666666666667e-06,3.7
38,950,-4.7013,14.298041343688965,8.5e-07,3.8
39,975,-4.7122,12.194609642028809,4.3333333333333335e-07,3.9
40,1000,-4.7802,12.958986282348633,1.6666666666666667e-08,4.0
