log_index,approx_step,loss,grad_norm,learning_rate,epoch
1,25,16.2137,255.78016662597656,3.6e-06,0.1
2,50,1.686,118.50460052490234,7.35e-06,0.2
3,75,-0.503,30.32154655456543,1.11e-05,0.3
4,100,-1.3301,28.480274200439453,1.485e-05,0.4
5,125,-1.6639,28.11665153503418,1.46e-05,0.5
6,150,-2.0017,25.34296417236328,1.4183333333333334e-05,0.6
7,175,-2.0579,23.302221298217773,1.3766666666666668e-05,0.7
8,200,-2.2638,21.251293182373047,1.3350000000000001e-05,0.8
9,225,-2.3566,19.450387954711914,1.2933333333333334e-05,0.9
10,250,-2.3461,21.024627685546875,1.2516666666666667e-05,1.0
11,275,-2.9868,19.134700775146484,1.21e-05,1.1
12,300,-3.0484,19.665128707885742,1.1683333333333334e-05,1.2
13,325,-3.0823,21.143098831176758,1.1266666666666667e-05,1.3
14,350,-3.0807,19.36701774597168,1.0850000000000001e-05,1.4
15,375,-3.1911,19.81484031677246,1.0433333333333334e-05,1.5
16,400,-3.2164,19.0744686126709,1.0016666666666667e-05,1.6
17,425,-3.2296,17.278234481811523,9.600000000000001e-06,1.7
18,450,-3.2853,18.092557907104492,9.183333333333334e-06,1.8
19,475,-3.3878,20.46637535095215,8.766666666666667e-06,1.9
20,500,-3.3916,17.457042694091797,8.35e-06,2.0
21,525,-4.0877,20.502246856689453,7.933333333333332e-06,2.1
22,550,-4.0934,16.658641815185547,7.516666666666666e-06,2.2
23,575,-4.0394,17.885421752929688,7.1e-06,2.3
24,600,-4.1434,17.019271850585938,6.6833333333333334e-06,2.4
25,625,-4.1112,17.217252731323242,6.266666666666667e-06,2.5
26,650,-4.1263,17.762176513671875,5.850000000000001e-06,2.6
27,675,-4.1201,19.129615783691406,5.4333333333333335e-06,2.7
28,700,-4.207,18.81435775756836,5.016666666666666e-06,2.8
29,725,-4.2675,16.109996795654297,4.6e-06,2.9
30,750,-4.2287,19.03744125366211,4.183333333333334e-06,3.0
31,775,-4.6201,15.330286026000977,3.766666666666667e-06,3.1
32,800,-4.7209,16.172348022460938,3.35e-06,3.2
33,825,-4.6586,13.124136924743652,2.9333333333333338e-06,3.3
34,850,-4.6846,16.333093643188477,2.5166666666666666e-06,3.4
35,875,-4.6408,12.655998229980469,2.1000000000000002e-06,3.5
36,900,-4.7243,14.359454154968262,1.6833333333333335e-06,3.6
37,925,-4.7321,12.845717430114746,1.2666666666666667e-06,3.7
38,950,-4.714,13.655566215515137,8.5e-07,3.8
39,975,-4.7322,12.2861909866333,4.3333333333333335e-07,3.9
40,1000,-4.7713,12.621809005737305,1.6666666666666667e-08,4.0
