log_index,approx_step,loss,grad_norm,learning_rate,epoch
1,25,11.6373,920.02978515625,3.6e-06,0.1
2,50,1.4243,59.29001235961914,7.35e-06,0.2
3,75,-0.8724,46.8466682434082,1.11e-05,0.3
4,100,-1.45,38.396602630615234,1.485e-05,0.4
5,125,-1.5903,35.711429595947266,1.46e-05,0.5
6,150,-1.8955,35.522705078125,1.4183333333333334e-05,0.6
7,175,-1.9477,26.830469131469727,1.3766666666666668e-05,0.7
8,200,-2.1319,28.739927291870117,1.3350000000000001e-05,0.8
9,225,-2.2409,26.260021209716797,1.2933333333333334e-05,0.9
10,250,-2.2383,24.475074768066406,1.2516666666666667e-05,1.0
11,275,-2.8677,28.69192123413086,1.21e-05,1.1
12,300,-2.9168,29.149593353271484,1.1683333333333334e-05,1.2
13,325,-2.9759,23.563119888305664,1.1266666666666667e-05,1.3
14,350,-2.9487,24.857484817504883,1.0850000000000001e-05,1.4
15,375,-3.0754,23.628921508789062,1.0433333333333334e-05,1.5
16,400,-3.0894,24.638051986694336,1.0016666666666667e-05,1.6
17,425,-3.1281,23.129880905151367,9.600000000000001e-06,1.7
18,450,-3.1787,25.93804359436035,9.183333333333334e-06,1.8
19,475,-3.2722,27.82745361328125,8.766666666666667e-06,1.9
20,500,-3.2837,22.176889419555664,8.35e-06,2.0
21,525,-3.9664,25.279090881347656,7.933333333333332e-06,2.1
22,550,-3.9832,23.862321853637695,7.516666666666666e-06,2.2
23,575,-3.928,24.7912540435791,7.1e-06,2.3
24,600,-4.0246,23.88208770751953,6.6833333333333334e-06,2.4
25,625,-4.0114,21.164400100708008,6.266666666666667e-06,2.5
26,650,-4.0402,22.188753128051758,5.850000000000001e-06,2.6
27,675,-4.0246,23.671850204467773,5.4333333333333335e-06,2.7
28,700,-4.1095,23.742624282836914,5.016666666666666e-06,2.8
29,725,-4.1712,19.46992301940918,4.6e-06,2.9
30,750,-4.1333,23.439889907836914,4.183333333333334e-06,3.0
31,775,-4.5168,20.25698471069336,3.766666666666667e-06,3.1
32,800,-4.6275,21.544389724731445,3.35e-06,3.2
33,825,-4.5569,17.01300048828125,2.9333333333333338e-06,3.3
34,850,-4.6148,25.586130142211914,2.5166666666666666e-06,3.4
35,875,-4.552,18.2623233795166,2.1000000000000002e-06,3.5
36,900,-4.6242,23.723142623901367,1.6833333333333335e-06,3.6
37,925,-4.6412,23.30333137512207,1.2666666666666667e-06,3.7
38,950,-4.6154,20.800174713134766,8.5e-07,3.8
39,975,-4.6411,16.570602416992188,4.3333333333333335e-07,3.9
40,1000,-4.6965,18.999576568603516,1.6666666666666667e-08,4.0
