log_index,approx_step,loss,grad_norm,learning_rate,epoch
1,25,12.1174,328.5004577636719,3.6e-06,0.1
2,50,2.4147,70.45128631591797,7.35e-06,0.2
3,75,-0.4475,145.46563720703125,1.11e-05,0.3
4,100,-1.3812,37.84183883666992,1.485e-05,0.4
5,125,-1.5795,35.29120635986328,1.46e-05,0.5
6,150,-1.8649,33.5295295715332,1.4183333333333334e-05,0.6
7,175,-1.9054,30.206119537353516,1.3766666666666668e-05,0.7
8,200,-2.1432,31.79526138305664,1.3350000000000001e-05,0.8
9,225,-2.248,28.373361587524414,1.2933333333333334e-05,0.9
10,250,-2.2436,27.45956039428711,1.2516666666666667e-05,1.0
11,275,-2.8714,31.293087005615234,1.21e-05,1.1
12,300,-2.9368,27.83786964416504,1.1683333333333334e-05,1.2
13,325,-2.9705,29.597755432128906,1.1266666666666667e-05,1.3
14,350,-2.9542,26.289745330810547,1.0850000000000001e-05,1.4
15,375,-3.0736,23.86834716796875,1.0433333333333334e-05,1.5
16,400,-3.0915,25.24822998046875,1.0016666666666667e-05,1.6
17,425,-3.109,28.509092330932617,9.600000000000001e-06,1.7
18,450,-3.1568,24.29837417602539,9.183333333333334e-06,1.8
19,475,-3.2711,32.77088165283203,8.766666666666667e-06,1.9
20,500,-3.2413,21.583559036254883,8.35e-06,2.0
21,525,-3.9542,27.048303604125977,7.933333333333332e-06,2.1
22,550,-3.9756,24.858966827392578,7.516666666666666e-06,2.2
23,575,-3.9078,25.86753273010254,7.1e-06,2.3
24,600,-4.005,23.456811904907227,6.6833333333333334e-06,2.4
25,625,-3.9936,28.635334014892578,6.266666666666667e-06,2.5
26,650,-4.0206,19.814302444458008,5.850000000000001e-06,2.6
27,675,-3.9946,22.41188621520996,5.4333333333333335e-06,2.7
28,700,-4.0909,24.659086227416992,5.016666666666666e-06,2.8
29,725,-4.1444,23.370868682861328,4.6e-06,2.9
30,750,-4.1205,23.92618179321289,4.183333333333334e-06,3.0
31,775,-4.5017,20.732698440551758,3.766666666666667e-06,3.1
32,800,-4.6037,22.085628509521484,3.35e-06,3.2
33,825,-4.5427,19.761577606201172,2.9333333333333338e-06,3.3
34,850,-4.5976,20.91439437866211,2.5166666666666666e-06,3.4
35,875,-4.5376,27.50151824951172,2.1000000000000002e-06,3.5
36,900,-4.6116,25.506216049194336,1.6833333333333335e-06,3.6
37,925,-4.6278,22.29035186767578,1.2666666666666667e-06,3.7
38,950,-4.6047,29.483686447143555,8.5e-07,3.8
39,975,-4.621,18.009986877441406,4.3333333333333335e-07,3.9
40,1000,-4.684,18.682653427124023,1.6666666666666667e-08,4.0
